word,dim_0,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,dim_8,dim_9,dim_10,dim_11,dim_12,dim_13,dim_14,dim_15,dim_16,dim_17,dim_18,dim_19,dim_20,dim_21,dim_22,dim_23,dim_24
follower,0.39501,1.1017,-0.64256,-1.1657,1.6022,-0.3429,0.1693,0.72666,-1.1074,0.86849,0.61745,0.066188,-2.1503,-0.39153,-1.5102,0.73976,0.36556,-1.3507,-1.3453,-0.50414,-0.58507,-0.9704,-0.39387,0.42582,-1.0679
wit,-0.36857,1.9883,0.62588,0.6126,0.21172,0.87087,-0.43169,-0.1802,-0.041444,0.56349,-1.6666,1.0013,-4.6617,-0.49561,-0.36459,0.39919,0.78771,-0.90378,-0.056799,1.3391,0.29909,0.48888,0.99965,-0.073067,0.75093
fact,0.30673,0.22631,0.11983,0.20555,-0.15293,-0.18333,1.6975,0.3638,-0.35856,-0.023718,0.024788,1.0762,-3.6222,-0.12409,-0.10876,0.35018,-0.071784,-0.3198,-0.0031859,-0.22287,-0.029263,0.60215,-0.98001,-0.046023,-0.98315
brother,-0.74632,0.67652,0.95797,0.14361,0.02808,-0.51116,1.0101,0.65478,-0.60427,-0.36362,-0.68061,-0.31691,-4.0293,-0.73709,0.33912,-0.54796,0.38303,-0.69526,-0.32052,-0.16578,0.65092,0.6075,-0.11483,-0.10159,-0.32912
peoples,1.33,0.3757,0.38365,0.35385,-0.030818,-1.0787,1.6127,0.22355,-1.3829,-1.5167,-0.71385,-0.19114,-3.0008,-0.15458,-1.4638,-0.1163,-2.3221,-1.2228,0.35355,0.53091,-1.1179,1.2255,0.023098,-0.90839,-0.72392
fin,0.53892,0.081146,-0.79432,0.35609,0.23038,0.53213,-0.38549,2.0766,-0.95301,-1.1792,0.44588,-1.9231,-1.8805,1.1764,1.2859,0.78279,0.57756,0.71894,-1.6716,0.34897,0.17215,-0.81285,0.40706,0.44306,1.2715
hour,-0.30289,1.031,0.84472,-0.35299,0.24867,0.13889,1.8252,-0.9867,-0.17896,0.23689,-0.34525,0.11497,-3.7992,0.9557,0.82704,-0.073023,0.37106,-0.33656,-0.92735,-0.76762,-0.94524,-0.58192,0.49053,0.3925,0.15834
thirsty,-0.24921,1.8432,-1.0863,-0.178,0.69776,0.37695,0.87494,-0.79329,-2.606,0.52896,-0.81132,-0.17941,-2.5384,-1.1536,-1.0137,0.086021,-0.59449,-1.8137,0.38174,0.059993,0.91171,0.22987,0.59753,-0.18382,0.42743
fight,0.177,1.0612,-0.37532,0.37692,-0.38193,-0.035887,1.1323,-0.12143,0.21336,0.017709,-0.39995,0.71165,-4.0861,0.26918,0.16057,0.11511,-0.51632,-0.73059,0.065623,-0.76326,0.021604,1.2975,0.48221,-0.74395,0.38602
heard,0.287,1.1403,1.0746,0.036523,-0.45213,-0.32689,1.6444,-0.21533,-0.54148,-0.16618,-0.21257,1.2581,-4.2278,0.048264,0.24089,0.50207,0.83236,0.23397,-0.12121,-0.15136,0.99586,0.36068,0.32045,-0.26932,0.1661
